timeStamp,Time,elapsed,responseCode,threadName,grpThreads,allThreads,Latency,IdleTime,Connect
1.5834E+12,05/03/2020 10:24:14.672,108,200,Thread Group 1-5,10,10,108,0,0
1.5834E+12,05/03/2020 10:24:14.682,114,200,Thread Group 1-10,10,10,114,0,0
1.5834E+12,05/03/2020 10:24:14.721,65,200,Thread Group 1-2,10,10,65,0,0
1.5834E+12,05/03/2020 10:24:14.745,91,200,Thread Group 1-1,10,10,89,0,0
1.5834E+12,05/03/2020 10:24:14.772,90,200,Thread Group 1-10,10,10,90,0,0
1.5834E+12,05/03/2020 10:24:14.820,168,200,Thread Group 1-6,10,10,168,0,3
1.5834E+12,05/03/2020 10:24:14.827,106,200,Thread Group 1-2,10,10,106,0,0
1.5834E+12,05/03/2020 10:24:14.841,169,200,Thread Group 1-5,10,10,169,0,0
1.5834E+12,05/03/2020 10:24:14.844,97,200,Thread Group 1-1,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:14.868,704,200,Thread Group 1-4,10,10,703,0,0
1.5834E+12,05/03/2020 10:24:14.868,96,200,Thread Group 1-10,10,10,96,0,0
1.5834E+12,05/03/2020 10:24:14.910,83,200,Thread Group 1-2,10,10,83,0,0
1.5834E+12,05/03/2020 10:24:14.912,92,200,Thread Group 1-6,10,10,92,0,0
1.5834E+12,05/03/2020 10:24:14.941,97,200,Thread Group 1-1,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:14.956,753,200,Thread Group 1-3,10,10,753,0,0
1.5834E+12,05/03/2020 10:24:14.957,88,200,Thread Group 1-10,10,10,87,0,0
1.5834E+12,05/03/2020 10:24:14.999,89,200,Thread Group 1-2,10,10,89,0,0
1.5834E+12,05/03/2020 10:24:15.001,89,200,Thread Group 1-6,10,10,89,0,0
1.5834E+12,05/03/2020 10:24:15.035,78,200,Thread Group 1-10,10,10,78,0,0
1.5834E+12,05/03/2020 10:24:15.077,136,200,Thread Group 1-1,10,10,136,0,0
1.5834E+12,05/03/2020 10:24:15.087,88,200,Thread Group 1-2,10,10,88,0,0
1.5834E+12,05/03/2020 10:24:15.099,97,200,Thread Group 1-6,10,10,97,0,0
1.5834E+12,05/03/2020 10:24:15.112,156,200,Thread Group 1-3,10,10,156,0,3
1.5834E+12,05/03/2020 10:24:15.140,104,200,Thread Group 1-10,10,10,104,0,0
